diagnosis_id	synonym	language
1264126483	pyogenic infection of skin and subcutis	en
1264126483	suppurative skin lesion	en
198024823	foot infection	en
760139952	Gammaherpesviral mononucleosis	en
760139952	Glandular fever	en
760139952	kissing disease	en
637134348	Bornholm disease	en
637134348	Dabney's grip	en
637134348	Devil's grip	en
637134348	epidemic benign dry pleurisy	en
637134348	epidemic cervical myalgia	en
637134348	epidemic pleurodynia	en
696932440	disease of visual pathways	en
696932440	disorder of afferent visual pathways	en
696932440	disorder of visual pathways	en
1017662917	CMV - [cytomegalovirus] disease	en
1017662917	CMV - [cytomegalovirus] infection	en
1017662917	Infections due to Human herpesvirus 5	en
1017662917	cytomegalic inclusion disease	en
1017662917	disease due to cytomegalovirus	en
1017662917	generalised cytomegalic inclusion disease	en
1017662917	salivary gland inclusion disease	en
1017662917	salivary gland virus disease	en
157616931	viral conjunctiva disorder	en
157616931	viral conjunctivitis NOS	en
555874229	VHF - [viral haemorrhagic fever] NOS	en
555874229	Viral haemorrhagic fever, not otherwise specified	en
1100765087	Skin infection classified elsewhere due to MRSA	en
522973276	Necrotising fasciitis NOS	en
522973276	necrotic fasciitis	en
522973276	necrotizing fasciitis	en
30317704	blindness and low vision	en
30317704	impaired vision	en
30317704	sight impaired	en
237422666	viral fever NOS	en
752894216	RSV - [Respiratory Cyncytial Virus] infection	en
752894216	RSV infection	en
1375378681	viral sepsis	en
15893629	parainfluenza virus infection	en
1364506357	Retrovirus infection NOS	en
1364506357	retroviral disorder NOS	en
685093552	Dengue fever without warning signs	en
685093552	Dengue haemorrhagic fever Grade 1	en
685093552	Dengue haemorrhagic fever without warning signs	en
56575149	Severe dengue fever	en
56575149	Severe dengue haemorrhagic fever	en
56575149	dengue shock syndrome	en
1302232870	Bangkok haemorrhagic fever	en
1302232870	DHF -[dengue haemorrhagic fever]	en
1302232870	Philippine haemorrhagic fever	en
1302232870	Singapore haemorrhagic fever	en
1302232870	Southeast Asia haemorrhagic fever	en
1302232870	Thailand haemorrhagic fever	en
1302232870	dengue fever with warning signs	en
1302232870	dengue haemorrhagic fever Grade 2	en
