ancestor_id	descendant_id	depth
1730644960	2031455436	4
1730644960	799987489	4
1730644960	985539642	4
1730644960	58858191	4
1730644960	406713951	4
1730644960	347628959	4
1730644960	1358497313/unspecified	4
1730644960	1358497313/other	4
1730644960	1379565645	4
1730644960	178093176	4
1730644960	1465329988	4
1730644960	1024351498	4
1730644960	1589580685	4
1730644960	1764504307	4
1730644960	1555484542	4
1730644960	1855736769	4
1730644960	1277139364	4
1730644960	1686811780	4
1730644960	1175021287	4
1730644960	1272799123	4
1730644960	1146377056	4
1730644960	775321209	4
1730644960	1780853513	4
1730644960	1479311120	4
1730644960	173329397	5
1730644960	945627124	5
1730644960	1750464584	5
1730644960	1515990081	5
1730644960	523459972	5
1730644960	1105445073	5
1730644960	1987109295	5
1730644960	957134152	5
1730644960	2009111705	5
1730644960	1657827202	5
1730644960	2037351188	5
1730644960	1603286685	5
1730644960	1562643961	5
1730644960	1274363794	5
1730644960	2074400987	5
1730644960	1279608482	5
1730644960	1970894933	5
1730644960	1720211658	5
1730644960	1498789307	5
1730644960	821001900	5
1730644960	1476045360	5
1730644960	1617529678	5
1730644960	1601555981	5
1730644960	402570689	5
1730644960	1858507973	5
1730644960	1425224652	5
1730644960	1592118409	5
1730644960	2087067372	5
1730644960	995395080	5
1730644960	1476665103	5
1730644960	779721947	5
1730644960	225958466	5
1730644960	905681283	5
1730644960	382219984	5
1730644960	616686295	5
1730644960	776238355	5
1730644960	330503211	5
1730644960	393759720	5
1730644960	214411126	5
1730644960	1224517226	5
1730644960	1160290076	5
1730644960	2062905967	5
1730644960	1924906594	5
1730644960	307487830	5
1730644960	1632280319	5
1730644960	154850112	5
2096109620	2096109620	0
2096109620	43586222	1
809409349	809409349	0
809409349	1388536957	1
809409349	1664143745	1
809409349	1830035363	1
809409349	609865692	1
809409349	347328271	1
809409349	8816743	1
809409349	794536561	1
809409349	1060537271	1
809409349	1782267160	1
809409349	2061035072	1
809409349	1261449686	1
809409349	2096866871	1
809409349	720818263	1
809409349	1783641880	1
809409349	595312630	1
809409349	1522822382	1
809409349	2030252983	1
809409349	240166591	1
809409349	969362921	1
809409349	1474507319	1
809409349	809409349/unspecified	1
809409349	954086114	1
809409349	185566031	1
809409349	809409349/other	1
809409349	341168261	1
809409349	1000069301	1
809409349	644756612	1
809409349	629442753	1
809409349	236828421	2
